  JENDL-4.0 NFY Fm255                                                0         0
 3.909800+4 1.000000+0 2.669530-3 1.708500-3 3.909900+4 0.000000+09936 8454  237
 1.838830-3 1.176850-3 3.910000+4 0.000000+0 1.474820-5 9.438860-69936 8454  238
 3.910000+4 1.000000+0 5.403720-4 4.322970-4 3.910100+4 0.000000+09936 8454  239
 1.534950-4 9.823710-5 3.910200+4 0.000000+0 1.972520-5 1.262410-59936 8454  240
 3.910300+4 0.000000+0 1.635710-6 1.046850-6 3.910400+4 0.000000+09936 8454  241
 8.096470-8 5.181740-8 3.910500+4 0.000000+0 7.359100-9 4.709830-99936 8454  242
 3.910600+4 0.000000+0 1.34688-11 8.62004-12 3.910700+4 0.000000+09936 8454  243
 9.95406-13 6.37059-13 3.910800+4 0.000000+0 1.26435-14 8.09179-159936 8454  244
 3.910900+4 0.000000+0 0.000000+0 0.000000+0 4.008800+4 0.000000+09936 8454  245
 0.000000+0 0.000000+0 4.008900+4 0.000000+0 1.90375-14 1.21840-149936 8454  246
 4.008900+4 1.000000+0 0.000000+0 0.000000+0 4.009000+4 0.000000+09936 8454  247
 6.64861-13 4.25511-13 4.009000+4 1.000000+0 2.79796-12 1.79069-129936 8454  248
 4.009100+4 0.000000+0 2.71867-10 1.73994-10 4.009200+4 0.000000+09936 8454  249
 1.111280-8 7.112180-9 4.009300+4 0.000000+0 3.244540-7 2.076500-79936 8454  250
 4.009400+4 0.000000+0 5.030520-6 3.219540-6 4.009500+4 0.000000+09936 8454  251
 4.970000-5 3.180800-5 4.009600+4 0.000000+0 3.259230-4 2.085910-49936 8454  252
 4.009700+4 0.000000+0 1.648300-3 1.054920-3 4.009800+4 0.000000+09936 8454  253
 3.305150-3 2.115300-3 4.009900+4 0.000000+0 5.442560-3 3.483240-39936 8454  254
 4.010000+4 0.000000+0 5.380890-3 3.443770-3 4.010100+4 0.000000+09936 8454  255
 3.889390-3 2.489210-3 4.010200+4 0.000000+0 1.634840-3 1.046300-39936 8454  256
 4.010300+4 0.000000+0 4.502770-4 2.881770-4 4.010400+4 0.000000+09936 8454  257
 7.897030-5 5.054100-5 4.010500+4 0.000000+0 1.239530-5 7.933000-69936 8454  258
 4.010600+4 0.000000+0 7.123960-7 4.559330-7 4.010700+4 0.000000+09936 8454  259
 4.362410-8 2.791940-8 4.010800+4 0.000000+0 6.68740-10 4.27993-109936 8454  260
 4.010900+4 0.000000+0 6.70943-12 4.29404-12 4.011000+4 0.000000+09936 8454  261
 8.04686-14 5.14998-14 4.011100+4 0.000000+0 0.000000+0 0.000000+09936 8454  262
 4.011200+4 0.000000+0 0.000000+0 0.000000+0 4.109000+4 0.000000+09936 8454  263
 0.000000+0 0.000000+0 4.109100+4 0.000000+0 0.000000+0 0.000000+09936 8454  264
 4.109100+4 1.000000+0 0.000000+0 0.000000+0 4.109200+4 0.000000+09936 8454  265
